rank,topic_ko,topic_en,macro,llm_centric,accepted_2023_2026,score,growth_rel_per_year,growth_per_year,share_2025_2026,open_frac,heavy_frac,llm_frac,theory_frac,reviewer_value_pct,iclr_accept_rate_2024_2026,top10_stability,pct_growth,pct_value,pct_open,pct_lowbar,pct_uncrowd
,LLM 인간 행동 시뮬레이션,LLMs Simulating Human Behavior,"LLM, 에이전트",1,200,,0.6491,0.4446,0.00613,0.145,0.14,0.84,0.025,,0.282,,,,,,
,사고 사슬(CoT) 추론,Chain-of-Thought Reasoning,"LLM, 에이전트",1,259,,0.9168,0.6828,0.00809,0.1699,0.1236,0.9614,0.0618,,0.275,,,,,,
,LLM 탈옥 공격과 방어,LLM Jailbreak Attacks and Defenses,"신뢰성, 안전, 프라이버시",1,280,,0.8157,0.5935,0.00901,0.1464,0.1321,0.9679,0.0464,,0.239,,,,,,
,LLM 내부 표현과 해석,LLM Interpretability and Internals,"딥러닝의 과학, 해석",1,439,,0.5406,0.3515,0.0137,0.1435,0.1731,0.9362,0.0569,,0.35,,,,,,
,LLM 멀티에이전트와 전략 추론,Multi-Agent LLMs and Strategic Reasoning,"LLM, 에이전트",1,256,,0.4818,0.301,0.00698,0.1328,0.0859,0.7188,0.0859,,0.243,,,,,,
,MLLM 벤치마크와 VQA,MLLM Benchmarks and VQA,"비전, 멀티모달",1,221,,0.6052,0.407,0.00697,0.1086,0.1584,0.8371,0.0136,,0.314,,,,,,
,LLM 수학 추론과 정리 증명,LLM Math Reasoning and Theorem Proving,"LLM, 에이전트",1,252,,0.5545,0.3631,0.00802,0.127,0.1786,0.7659,0.377,,0.349,,,,,,
,MoE 라우팅과 전문가 특화,Mixture-of-Experts Routing and Specialization,"효율, 시스템",1,183,,0.9875,0.7409,0.00613,0.1421,0.3825,0.5683,0.0929,,0.321,,,,,,
,머신 언러닝,Machine Unlearning,"신뢰성, 안전, 프라이버시",1,167,,0.7233,0.5121,0.00588,0.0838,0.0419,0.491,0.1018,,0.288,,,,,,
,검색 증강 생성(RAG),Retrieval-Augmented Generation,"LLM, 에이전트",1,154,,1.2366,0.9599,0.00564,0.0974,0.1429,0.974,0.039,,0.275,,,,,,
,VLM 공간 추론과 3D 이해,Spatial Reasoning in VLMs,"비전, 멀티모달",1,252,,1.3307,1.0474,0.00815,0.1111,0.1667,0.6746,0.004,,0.344,,,,,,
,MLLM 시각 추론,Multimodal Visual Reasoning,"비전, 멀티모달",1,288,,1.9152,1.556,0.00949,0.1181,0.2014,0.8438,0.0208,,0.326,,,,,,
,LLM 안전 정렬과 미세조정 위험,LLM Safety Alignment under Fine-Tuning,"신뢰성, 안전, 프라이버시",1,196,,1.114,0.8517,0.00711,0.0918,0.1633,0.9898,0.0357,,0.336,,,,,,
,LLM 에이전트와 도구 사용,LLM Agents and Tool Use,"LLM, 에이전트",1,473,,1.9714,1.5969,0.01655,0.0529,0.1818,0.9535,0.0275,,0.327,,,,,,
,헬스케어 AI와 의료 LLM,Healthcare AI and Medical LLMs,AI for Science,1,177,,0.9209,0.6845,0.00567,0.1017,0.2147,0.5932,0.0169,,0.2,,,,,,
,LLM 자동 평가와 편향,"LLM Evaluation, Judges and Bias","평가, 데이터",1,329,,0.5471,0.3554,0.01017,0.079,0.1793,0.9666,0.0456,,0.309,,,,,,
,인컨텍스트 학습 원리,In-Context Learning Mechanisms,"딥러닝의 과학, 해석",1,176,,0.1331,-0.0055,0.00497,0.233,0.1307,0.983,0.1932,,0.307,,,,,,
,MLLM 기반 비디오 이해,Video Understanding with MLLMs,"비전, 멀티모달",1,251,,1.1434,0.8821,0.0086,0.0797,0.1554,0.7729,0.0,,0.331,,,,,,
,LLM 저비트 양자화,Low-Bit LLM Quantization,"효율, 시스템",1,249,,0.3688,0.2007,0.00705,0.1406,0.3293,0.6867,0.0763,,0.261,,,,,,
,워터마킹과 저작권 보호,Watermarking and Copyright Protection,"신뢰성, 안전, 프라이버시",1,168,,0.5757,0.3832,0.00503,0.0714,0.1071,0.494,0.1071,,0.277,,,,,,
,코드 생성 LLM과 벤치마크,Code Generation LLMs and Benchmarks,"LLM, 에이전트",1,303,,0.3163,0.1537,0.00865,0.1056,0.2079,0.9043,0.0462,,0.262,,,,,,
,LLM 추론 강화학습(RLVR),RLVR for LLM Reasoning,"LLM, 에이전트",1,366,,13.2552,11.467,0.01316,0.1175,0.3798,0.9454,0.082,,0.36,,,,,,
,LLM 추론 능력 향상,Improving LLM Reasoning,"LLM, 에이전트",1,363,,1.3952,1.101,0.01195,0.0909,0.2893,0.9752,0.0634,,0.245,,,,,,
,RLHF와 보상 모델링,RLHF and Reward Modeling,"LLM, 에이전트",1,269,,0.2547,0.1008,0.00782,0.0892,0.171,0.6989,0.2416,,0.38,,,,,,
,LLM 선호 최적화(DPO),LLM Preference Optimization (DPO),"LLM, 에이전트",1,306,,0.5948,0.3993,0.0105,0.0686,0.2059,0.9379,0.1438,,0.339,,,,,,
,LLM 강화학습 알고리즘,RL Algorithms for LLMs,"LLM, 에이전트",1,366,,1.1232,0.8609,0.01132,0.0902,0.2459,0.9508,0.071,,0.336,,,,,,
,LLM 서빙과 분산 시스템,LLM Serving and Distributed Systems,"효율, 시스템",1,166,,0.8238,0.5985,0.00524,0.0482,0.2711,0.753,0.0422,,0.27,,,,,,
,지식 그래프 추론과 LLM,Knowledge Graph Reasoning with LLMs,"그래프, 기하",1,183,,0.1933,0.0481,0.00491,0.0929,0.1694,0.5519,0.0383,,0.237,,,,,,
,LLM 미세조정과 학습 데이터,LLM Fine-Tuning and Training Data,"LLM, 에이전트",1,546,,0.3146,0.1529,0.01672,0.0971,0.315,0.9652,0.0696,,0.35,,,,,,
,VLM 아키텍처와 시각 토큰,VLM Architecture and Visual Tokens,"비전, 멀티모달",1,388,,0.7185,0.5104,0.01151,0.0954,0.2036,0.9278,0.0232,,0.293,,,,,,
,LLM 질의응답과 지식 평가,LLM Question Answering and Knowledge,"LLM, 에이전트",1,193,,0.2182,0.0668,0.0057,0.0622,0.1606,0.9171,0.0207,,0.25,,,,,,
,LoRA와 PEFT 기법,LoRA and Parameter-Efficient Fine-Tuning,"효율, 시스템",1,187,,0.6676,0.4642,0.00608,0.0642,0.3583,0.6524,0.139,,0.265,,,,,,
,LLM 디코딩 가속과 KV 캐시,LLM Decoding Acceleration and KV Cache,"효율, 시스템",1,372,,1.1284,0.866,0.01248,0.0403,0.2608,0.9247,0.0914,,0.345,,,,,,
,체화 에이전트와 GUI 에이전트,Embodied and GUI Agents,"로보틱스, 체화",1,336,,0.4289,0.2542,0.00974,0.0536,0.1637,0.622,0.0179,,0.317,,,,,,
,LLM 프루닝과 경량화,LLM Pruning and Compression,"효율, 시스템",1,406,,0.3658,0.1997,0.01142,0.0714,0.4483,0.9483,0.0961,,0.32,,,,,,
,언어 모델링과 AI 텍스트 탐지,Language Modeling and AI-Text Detection,"음성, 언어",1,261,,-0.0752,-0.1891,0.00599,0.0805,0.1571,0.7356,0.0575,,0.289,,,,,,
,LLM 프롬프트 최적화와 라우팅,LLM Prompt Optimization and Routing,"LLM, 에이전트",1,280,,0.691,0.484,0.0094,0.0714,0.2107,0.9893,0.0679,,0.322,,,,,,
,CLIP 대조 사전학습,CLIP Contrastive Vision-Language Pretraining,"비전, 멀티모달",1,274,,-0.0597,-0.1741,0.00595,0.0839,0.1606,0.5766,0.0073,,0.284,,,,,,
,VLM 프롬프트 튜닝,Prompt Tuning for VLMs,"비전, 멀티모달",1,133,,-0.13,-0.2363,0.00297,0.0602,0.1654,0.8647,0.0301,,0.338,,,,,,
